"Data Source","World Development Indicators",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Bangladesh","BGD","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.5131903542463","26.0705975336452","27.6554493983047","29.231867657353","30.7992984470831","32.4431837647269","34.0875250851519","35.7309011894357","37.3719166265714","39.0092124920905","40.6418673210665","42.268339101128","43.8868927179976","45.4961634604437","47.0955366737352","48.6838158473245","50.2602922140672","51.8240359497362","53.374264785747","54.9102399606066","56.4312334257288","57.9366246208439","59.2951914692048","",
"Bulgaria","BGR","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.8271089702162","85.8352908479072","85.8462648106082","85.8571440644379","85.8679922046275","85.8787497249817","85.8894144465135","85.900018782147","85.9105609000638","85.9210147407861","85.9314025243646","85.9417021469131","85.9520261721643","85.9623866060034","85.972745627149","85.9831361461226","85.9935265191429","86.0039454307133","86.0143373922926","86.0247237413144","86.0351144450633","86.0455071778207","86.0558628837298","",
"Bahrain","BHR","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9338494189547","99.9387336652673","99.9436179115799","99.9485021578926","99.9533864042052","99.9582706505178","99.9631548968304","99.968039143143","99.9729233894557","99.9778076357683","99.9826918820809","99.9875761283935","99.9924603747062","99.9973446210188","100","100","100","100","100","100","100","100","100","",
"Bahamas, The","BHS","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.6018273385256","88.1192100717408","88.6379844039754","89.1581503352292","89.6797078655026","90.2026569947952","90.7269977231071","91.2527300504385","91.7798539767891","92.3083695021592","92.8382766265486","93.3695753499573","93.9022656723855","94.2450378918434","94.5878101113014","94.9305823307593","94.9305823307593","94.9305823307593","94.9305823307593","94.9305823307593","","","","",
"Bosnia and Herzegovina","BIH","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.0784457696157","95.0879641913075","95.0981396368111","95.1088600330227","95.1202465613179","95.1357873687162","95.151629322116","95.1678950814156","95.1844590967475","95.2013200786175","95.2184859381301","95.2360153461861","95.2539078629793","95.2720381038847","95.290532157865","95.3129360823777","95.3361510415938","95.3602380401122","95.3850592701845","","","","","",
"Belarus","BLR","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.0688611847075","92.0460905490136","92.0235090773808","92.0011580100516","92.4299916634885","92.8629829775611","93.300075313505","93.741208204244","94.1862922254828","94.6353529883888","95.0871819797059","95.5429893009078","96.0031998605471","96.4677445675185","96.9365246924667","97.4094623454062","97.8864691690809","98.3674545561618","98.8522676469004","99.3407614255289","99.488775472255","99.5394913472978","99.5586639196019","",
"Belize","BLZ","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.4379857862618","82.7632637992098","83.088569231987","83.4138995033118","83.7392626611454","84.0550525354044","84.3704273112664","84.6853808597079","84.9999138070578","85.3140193437677","85.6277083290934","85.9422379234594","86.2578541142756","86.5747585957408","86.8930450171415","87.2129807113852","87.534777016108","87.8585217818837","88.184416079473","88.1985036524971","88.2142766873075","88.23173186587","88.2510779331487","",
"Bermuda","BMU","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9791403999453","99.9770577444815","99.9749750890177","99.972892433554","99.9708097780902","99.9687271226264","99.9666444671626","99.9645618116988","99.962479156235","99.9603965007712","99.9583138453074","99.9562311898436","99.9541485343798","99.952065878916","99.9499832234522","99.9479005679884","99.9458179125246","99.9437352570609","99.9416526015971","99.9416526015971","99.9416526015971","99.9416526015971","99.9416526015971","",
"Bolivia","BOL","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.8811874412867","36.0196772037858","37.1412514213975","38.2561389140297","39.3677022723761","40.47531433417","41.5799679174853","43.1728444931789","44.7886532203602","46.4262546267076","48.08580986572","49.7674655242052","51.4707416747081","53.1783113817312","54.8968142877762","56.636951137867","58.3989085613163","60.181938442967","61.9877854174935","63.8163098248026","65.6670621010482","67.5398876118887","68.612563095457","",
"Brazil","BRA","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.1287988328203","74.0379078842192","74.9279834778336","75.8126402714995","76.6915371557584","77.5647914194703","78.4329110515648","79.2959780376904","80.154078978513","81.0065268837533","81.854207204088","82.7005761863484","83.5422241377624","84.3785142207398","85.2106414441147","86.0379594237602","86.8602432937162","87.6779592819379","88.4905439034498","89.298795927984","90.0784764801568","90.8109852394536","90.8834993687823","",
